Run Fitness1 Solution1 Elite1 Fitness2 Solution2 Elite2
1 3307172.60 3016026 T 4667171.60 2011021 F
1 3307172.60 3016026 T 4060739.33 2006016 F
1 3307172.60 3016026 T 3626126.55 3011031 F
1 3307172.60 3016026 T 3245828.40 3021026 T
1 3307172.60 3016026 T 3157214.00 3016036 T
1 3307172.60 3016026 T 4346154.00 3011026 F
1 3307172.60 3016026 T 3315736.20 0016016 F
1 3307172.60 3016026 T 4664527.60 2006041 F
1 3307172.60 3016026 T 4666804.80 1016021 F
1 3307172.60 3016026 T 4667339.20 0001026 F
1 3307172.60 3016026 T 3302838.80 3016021 F
1 3307172.60 3016026 T 2820884.33 3031026 F
1 3307172.60 3016026 T 2782709.11 0026026 F
1 3307172.60 3016026 T 4662486.40 0011026 F
1 3307172.60 3016026 T 3303910.20 3006021 T
1 3307172.60 3016026 T 3236618.80 3016016 T
1 3307172.60 3016026 T 2766771.11 3031016 T
1 3307172.60 3016026 T 3307172.60 3016026 T
1 3307172.60 3016026 T 3245828.40 3021026 T
1 3307172.60 3016026 T 4343976.44 3006016 F
1 3307172.60 3016026 T 3484403.43 3011046 F
1 3307172.60 3016026 T 4352307.11 3006031 F
1 3307172.60 3016026 T 4059969.00 0011011 F
1 3307172.60 3016026 T 4365895.11 2011016 F
1 3307172.60 3016026 T 2780355.56 0026021 F
1 3307172.60 3016026 T 2770000.44 3021021 F
1 3307172.60 3016026 T 2777320.44 1036016 F
1 3307172.60 3016026 T 4668243.20 1006031 F
1 3307172.60 3016026 T 4671882.80 2006031 F
1 3307172.60 3016026 T 4065198.67 2011026 F
1 3307172.60 3016026 T 4668095.20 1011021 F
1 3307172.60 3016026 T 4663366.80 1011031 F
1 3307172.60 3016026 T 2769560.44 3021016 F
1 3307172.60 3016026 T 2766656.22 3026011 T
1 3307172.60 3016026 T 4343976.44 3006016 F
1 3307172.60 3016026 T 2769560.44 3021016 F
1 3307172.60 3016026 T 4367352.00 2026016 F
1 3307172.60 3016026 T 3258580.80 0031021 F
1 3307172.60 3016026 T 3626806.36 3026031 T
1 3307172.60 3016026 T 4344611.11 3011021 F
1 3307172.60 3016026 T 3628828.00 3021036 F
1 3307172.60 3016026 T 4668095.20 1011021 F
1 3307172.60 3016026 T 4344611.11 3011021 F
1 3307172.60 3016026 T 2782697.33 0021016 F
1 3307172.60 3016026 T 2766591.33 3021006 T
1 3307172.60 3016026 T 3157214.00 3016036 T
1 3307172.60 3016026 T 4360024.00 1001026 F
1 3307172.60 3016026 T 4343976.44 3006016 F
1 3307172.60 3016026 T 2778602.00 2041016 F
1 3307172.60 3016026 T 3063101.75 2016036 F
1 3157214.00 3016036 T 3483627.43 3011036 F
1 3157214.00 3016036 T 3311716.80 0011021 F
1 3157214.00 3016036 T 4365895.11 2011016 F
1 3157214.00 3016036 T 4636149.20 1031031 F
1 3157214.00 3016036 T 4672947.20 0011036 F
1 3157214.00 3016036 T 4342415.56 3006046 T
1 3157214.00 3016036 T 3217672.40 3006026 F
1 3157214.00 3016036 T 4669314.00 1006041 F
1 3157214.00 3016036 T 3260323.20 0031031 F
1 3157214.00 3016036 T 4676712.00 1001041 F
1 3157214.00 3016036 T 4346154.00 3011026 F
1 3157214.00 3016036 T 4658852.80 1021036 F
1 3157214.00 3016036 T 4671882.80 2006031 F
1 3157214.00 3016036 T 3304499.60 3016031 F
1 3157214.00 3016036 T 4632362.40 1016031 F
1 3157214.00 3016036 T 3217672.40 3006026 F
1 3157214.00 3016036 T 4058120.67 0031041 F
1 3157214.00 3016036 T 4667043.60 1016041 F
1 3157214.00 3016036 T 3051555.50 3021041 F
1 3157214.00 3016036 T 4674104.80 1021041 F
1 3157214.00 3016036 T 4232751.85 3016046 F
1 3157214.00 3016036 T 3629322.73 3006036 F
1 3157214.00 3016036 T 3307172.60 3016026 T
1 3157214.00 3016036 T 4668342.40 0011041 F
1 3157214.00 3016036 T 3063771.75 0016046 F
1 3157214.00 3016036 T 4666476.00 1016046 F
1 3157214.00 3016036 T 3304499.60 3016031 F
1 3157214.00 3016036 T 4638784.80 0006036 F
1 3157214.00 3016036 T 4632172.40 0026031 F
1 3157214.00 3016036 T 4364810.00 2031041 F
1 3157214.00 3016036 T 4659272.40 1011026 F
1 3157214.00 3016036 T 4346154.00 3011026 F
1 3157214.00 3016036 T 4671103.60 0016036 F
1 3157214.00 3016036 T 4352307.11 3006031 F
1 3157214.00 3016036 T 4633146.40 0021026 F
1 3157214.00 3016036 T 4665961.20 1026041 F
1 3157214.00 3016036 T 3626126.55 3011031 F
1 3157214.00 3016036 T 4057951.67 2016021 F
1 3157214.00 3016036 T 4674412.00 0021031 F
1 3157214.00 3016036 T 4669442.80 0021051 F
1 454835.60 3041026 T 457822.80 1046036 F
1 454835.60 3041026 T 1617578.33 1056026 F
1 454835.60 3041026 T 454835.60 3041026 T
1 454835.60 3041026 T 3247576.80 2056026 F
1 454835.60 3041026 T 455825.20 3041036 T
1 454835.60 3041026 T 3252124.80 0056031 F
1 454835.60 3041026 T 451661.60 3051031 F
1 454835.60 3041026 T 3670879.54 2046026 T
1 454835.60 3041026 T 3302533.60 3056041 F
1 454835.60 3041026 T 453885.20 3031031 F
1 454835.60 3041026 T 1614139.67 1031036 F
1 454835.60 3041026 T 3628538.89 2036026 F
1 454835.60 3041026 T 1644009.00 3036011 T
1 454835.60 3041026 T 2782613.78 2051026 F
1 454835.60 3041026 T 3253492.00 0031026 F
1 454835.60 3041026 T 460057.60 3046016 T
1 454835.60 3041026 T 3637556.44 2041021 F
1 454835.60 3041026 T 457186.00 3046031 F
1 454835.60 3041026 T 1648918.67 1051016 F
1 454835.60 3041026 T 425092.40 3036021 F
1 454835.60 3041026 T 455836.80 3036031 T
1 454835.60 3041026 T 461276.40 1046026 F
1 454835.60 3041026 T 2766771.11 3031016 T
1 454835.60 3041026 T 460057.60 3046016 T
1 454835.60 3041026 T 4057232.67 1036026 F
1 454835.60 3041026 T 3239674.80 0041026 F
1 454835.60 3041026 T 3241521.20 2051036 F
1 454835.60 3041026 T 3260216.80 1031021 F
1 454835.60 3041026 T 1864317.20 1036001 F
1 454835.60 3041026 T 457002.00 3046021 F
1 454835.60 3041026 T 456743.20 3056021 T
1 454835.60 3041026 T 3255285.60 1036041 F
1 454835.60 3041026 T 2769126.67 3031021 T
1 454835.60 3041026 T 457002.00 3046021 F
1 454835.60 3041026 T 457186.00 3046031 F
1 454835.60 3041026 T 3259172.40 1031026 F
1 454835.60 3041026 T 455836.80 3036031 T
1 454835.60 3041026 T 2393404.91 2046016 F
1 454835.60 3041026 T 4640146.00 2036041 F
1 454835.60 3041026 T 2821333.67 3041031 T
1 454835.60 3041026 T 2785010.00 0051036 F
1 454835.60 3041026 T 2823590.83 3036026 T
1 454835.60 3041026 T 1647209.33 3041011 T
1 454835.60 3041026 T 456778.40 3046046 F
1 454835.60 3041026 T 454835.60 3041026 T
1 454835.60 3041026 T 457186.00 3046031 F
1 454835.60 3041026 T 2788112.22 1046031 F
1 454835.60 3041026 T 2823590.83 3036026 T
1 454835.60 3041026 T 454493.60 3056031 T
1 454835.60 3041026 T 457641.60 3031036 F
1 454835.60 3041026 T 457910.00 3046036 F
1 454835.60 3041026 T 2769126.67 3031021 T
1 454835.60 3041026 T 456426.80 0046026 F
1 454835.60 3041026 T 456752.00 3061031 F
1 454835.60 3041026 T 2821333.67 3041031 T
1 454835.60 3041026 T 425092.40 3036021 F
1 454835.60 3041026 T 452860.40 0051016 F
1 454835.60 3041026 T 457910.00 3046036 F
1 454835.60 3041026 T 2777283.56 2046011 F
1 454835.60 3041026 T 3302533.60 3056041 F
1 454835.60 3041026 T 4695652.40 1051041 F
1 454835.60 3041026 T 454493.60 3056031 T
1 454835.60 3041026 T 2821333.67 3041031 T
1 454835.60 3041026 T 2823590.83 3036026 T
1 454835.60 3041026 T 3268474.40 0036031 F
1 454835.60 3041026 T 3268474.40 0036031 F
1 454835.60 3041026 T 461276.40 1046026 F
1 454835.60 3041026 T 457186.00 3046031 F
1 454835.60 3041026 T 2788112.22 1046031 F
1 454835.60 3041026 T 454835.60 3041026 T
1 454835.60 3041026 T 451661.60 3051031 F
1 454835.60 3041026 T 4694637.20 0066046 F
1 454835.60 3041026 T 457187.60 3041021 F
1 454835.60 3041026 T 460057.60 3046016 T
1 454835.60 3041026 T 455878.40 3051036 F
1 454835.60 3041026 T 456747.60 3046026 T
