Run Fitness1 Solution1 Elite1 Fitness2 Solution2 Elite2
1 454835.60 3041021 T 453050.40 1041021 F
1 454835.60 3041021 T 456426.80 0041021 F
1 454835.60 3041021 T 2779610.22 2041021 T
1 454835.60 3041021 T 454724.40 1051031 F
1 454835.60 3041021 T 454084.00 3051021 T
1 454835.60 3041021 T 455825.20 3041031 T
1 454835.60 3041021 T 3238258.80 2051031 F
1 454835.60 3041021 T 3062097.75 2041031 F
1 454835.60 3041021 T 453050.40 1041021 F
1 454835.60 3041021 T 460237.20 3021021 T
1 454835.60 3041021 T 452860.40 0051011 F
1 454835.60 3041021 T 3062097.75 2041031 F
1 454835.60 3041021 T 454084.00 3051021 T
1 454835.60 3041021 T 2776775.33 2031021 F
1 454835.60 3041021 T 451594.40 0031021 F
1 454835.60 3041021 T 454084.00 3051021 T
1 454835.60 3041021 T 423983.20 3061011 T
1 454835.60 3041021 T 2391171.64 0031011 F
1 454835.60 3041021 T 451594.40 0031021 F
1 454835.60 3041021 T 452352.00 1041031 F
1 454835.60 3041021 T 454835.60 3041021 T
1 454835.60 3041021 T 2388848.00 2041011 F
1 454835.60 3041021 T 2391171.64 0031011 F
1 454835.60 3041021 T 452413.20 0041031 F
1 454835.60 3041021 T 455825.20 3041031 T
1 454835.60 3041021 T 456426.80 0041021 F
1 454835.60 3041021 T 453551.60 1041011 F
1 454835.60 3041021 T 425092.40 3031021 T
1 454835.60 3041021 T 3253238.80 2041041 F
1 454835.60 3041021 T 453885.20 3031031 T
1 454835.60 3041021 T 456426.80 0041021 F
1 454835.60 3041021 T 425092.40 3031021 T
1 454835.60 3041021 T 1617578.33 1051021 F
1 454835.60 3041021 T 2779610.22 2041021 T
1 454835.60 3041021 T 3066044.00 2021021 F
1 454835.60 3041021 T 3062097.75 2041031 F
1 454835.60 3041021 T 1856602.80 0051021 F
1 454835.60 3041021 T 456137.20 0061021 T
1 454835.60 3041021 T 455825.20 3041031 T
1 454835.60 3041021 T 3252540.80 2021031 F
1 454835.60 3041021 T 425092.40 3031021 T
1 454835.60 3041021 T 452298.40 3041041 T
1 454835.60 3041021 T 454718.00 3051011 T
1 454835.60 3041021 T 452413.20 0041031 F
1 454835.60 3041021 T 454835.60 3041021 T
1 454835.60 3041021 T 1862783.20 1031011 F
1 454835.60 3041021 T 2776775.33 2031021 F
1 454835.60 3041021 T 455825.20 3041031 T
1 454835.60 3041021 T 2776775.33 2031021 F
1 454835.60 3041021 T 2390959.09 2051021 F
1 454835.60 3041021 T 454254.40 2061031 F
1 454835.60 3041021 T 425092.40 3031021 T
1 454835.60 3041021 T 2781882.44 0031031 F
1 454835.60 3041021 T 3058865.50 2031031 F
1 454835.60 3041021 T 1856602.80 0051021 F
1 454835.60 3041021 T 1862409.60 1031021 F
1 454835.60 3041021 T 425092.40 3031021 T
1 454835.60 3041021 T 454835.60 3041021 T
1 454835.60 3041021 T 451661.60 3051031 T
1 454835.60 3041021 T 454835.60 3041021 T
1 454835.60 3041021 T 453885.20 3031031 T
1 454835.60 3041021 T 452413.20 0041031 F
1 454835.60 3041021 T 425092.40 3031021 T
1 454835.60 3041021 T 2765271.78 3021011 T
1 454835.60 3041021 T 453050.40 1041021 F
1 454835.60 3041021 T 453551.60 1041011 F
1 454835.60 3041021 T 454273.20 0041011 F
1 454835.60 3041021 T 454084.00 3051021 T
1 454835.60 3041021 T 454084.00 3051021 T
1 454835.60 3041021 T 1856602.80 0051021 F
1 454835.60 3041021 T 3062097.75 2041031 F
1 454835.60 3041021 T 454835.60 3041021 T
1 454835.60 3041021 T 452413.20 0041031 F
1 454835.60 3041021 T 425092.40 3031021 T
1 454835.60 3041021 T 456426.80 0041021 F
1 454835.60 3041021 T 456426.80 0041021 F
1 454835.60 3041021 T 453885.20 3031031 T
1 454835.60 3041021 T 3062097.75 2041031 F
1 454835.60 3041021 T 1617578.33 1051021 F
1 454835.60 3041021 T 1617578.33 1051021 F
1 454835.60 3041021 T 454835.60 3041021 T
1 454835.60 3041021 T 422055.20 3041011 T
1 454835.60 3041021 T 2779610.22 2041021 T
1 454835.60 3041021 T 425092.40 3031021 T
1 454835.60 3041021 T 2779610.22 2041021 T
1 454835.60 3041021 T 2781882.44 0031031 F
1 454835.60 3041021 T 452413.20 0041031 F
1 454835.60 3041021 T 2779610.22 2041021 T
1 454835.60 3041021 T 451661.60 3051031 T
1 454835.60 3041021 T 451661.60 3051031 T
1 454835.60 3041021 T 2777718.67 2031011 F
1 454835.60 3041021 T 455825.20 3041031 T
1 454835.60 3041021 T 2776775.33 2031021 F
1 454835.60 3041021 T 2778824.44 2061021 F
1 454835.60 3041021 T 425092.40 3031021 T
1 454835.60 3041021 T 451661.60 3051031 T
1 454835.60 3041021 T 452298.40 3041041 T
1 454835.60 3041021 T 454084.00 3051021 T
1 454835.60 3041021 T 452413.20 0041031 F
1 454835.60 3041021 T 454718.00 3051011 T
1 3302838.80 3011021 T 3302838.80 3011021 T
1 3302838.80 3011021 T 4665478.00 1001011 F
1 3302838.80 3011021 T 3157214.00 3011031 T
1 3302838.80 3011021 T 4053865.33 2011021 F
1 3302838.80 3011021 T 3217672.40 3001021 T
1 3302838.80 3011021 T 3063101.75 2011031 F
1 3302838.80 3011021 T 2765271.78 3021011 T
1 3302838.80 3011021 T 3302838.80 3011021 T
1 3302838.80 3011021 T 460237.20 3021021 T
1 3302838.80 3011021 T 3245987.20 1011011 F
1 3302838.80 3011021 T 3302838.80 3011021 T
1 3302838.80 3011021 T 3229468.00 1011021 F
1 3302838.80 3011021 T 2782697.33 0021011 F
1 3302838.80 3011021 T 4365684.44 1001031 F
1 3302838.80 3011021 T 3217672.40 3001021 T
1 3302838.80 3011021 T 3062583.00 0021041 F
1 3302838.80 3011021 T 4053865.33 2011021 F
1 3302838.80 3011021 T 4053865.33 2011021 F
1 3302838.80 3011021 T 4059528.33 1011001 F
1 3302838.80 3011021 T 3302838.80 3011021 T
1 3302838.80 3011021 T 1614139.67 1031031 F
1 3302838.80 3011021 T 2780355.56 0021021 F
1 3302838.80 3011021 T 3051688.25 3011041 F
1 3302838.80 3011021 T 2777874.89 1021011 F
1 3302838.80 3011021 T 3245987.20 1011011 F
1 3302838.80 3011021 T 3629322.73 3001031 F
1 3302838.80 3011021 T 4053865.33 2011021 F
1 3302838.80 3011021 T 4060739.33 2001011 F
1 3302838.80 3011021 T 3157214.00 3011031 T
1 3302838.80 3011021 T 460237.20 3021021 T
1 3302838.80 3011021 T 3157214.00 3011031 T
1 3302838.80 3011021 T 3302838.80 3011021 T
1 3302838.80 3011021 T 3315736.20 0011011 F
1 3302838.80 3011021 T 4664527.60 2001041 F
1 3302838.80 3011021 T 3229468.00 1011021 F
1 3302838.80 3011021 T 4057201.00 0001021 F
1 3302838.80 3011021 T 3302838.80 3011021 T
1 3302838.80 3011021 T 425092.40 3031021 T
1 3302838.80 3011021 T 2780355.56 0021021 F
1 3302838.80 3011021 T 3251974.40 0011021 F
1 3302838.80 3011021 T 3217672.40 3001021 T
1 3302838.80 3011021 T 3236618.80 3011011 T
1 3302838.80 3011021 T 455982.80 3031011 T
1 3302838.80 3011021 T 3302838.80 3011021 T
1 3302838.80 3011021 T 460237.20 3021021 T
1 3302838.80 3011021 T 3154570.00 3001011 F
1 3302838.80 3011021 T 3051688.25 3011041 F
