Location,Algorithm,nodes,edges,nbest,nend,comp,str,plength,npaths,per-elite-nodes,avg-out-edges-elite,avg-inc-edges-elite,per-cons-elite
L0,irace,226,814,1,5,1,3.9,4.9,10,21.6814159292035,51.7959183673469,22.4897959183673,32.0638820638821
L0,irace-sr,294,1212,1,5,1,3.3,2.2222,9,13.9455782312925,93.5121951219512,39.3170731707317,26.5676567656766
L1,irace,660,1670,1,8,1,2,2.375,8,14.3939393939394,32.3157894736842,10.0947368421053,24.7904191616766
L1,irace-sr,845,2693,1,7,1,1.1,2.7778,9,8.99408284023669,54.5394736842105,16.3289473684211,22.5027849981433
L2,irace,1748,2530,1,9,1,1.2,2.875,8,10.812356979405,19.2222222222222,4.22222222222222,14.0711462450593
L2,irace-sr,2268,3910,1,9,2,0.5,2.8889,9,5.24691358024691,35.8823529411765,3.84033613445378,10.1790281329923
