"location","algorithm","nodes","edges","nbest","nend","components","strength","plength","npaths","porc-elites","avg_incedges_elites","avg_outedges_elites","porc_edges-consec-elites"
"L0","irace",226,814,1,36,1,3.9,4.2,10,21.6814159292035,22.4897959183673,51.7959183673469,32.0638820638821
"L0","irace-sr",294,1212,1,19,1,3.3,3.3571,14,13.9455782312925,39.3170731707317,93.5121951219512,26.5676567656766
"L1","irace",660,1670,1,69,1,2,2.8462,13,14.3939393939394,10.0947368421053,32.3157894736842,24.7904191616766
"L1","irace-sr",845,2693,1,35,1,1.1,3.5,18,8.99408284023669,16.3289473684211,54.5394736842105,22.5027849981433
"L2","irace",1748,2530,1,148,1,1.2,3.2143,14,10.812356979405,4.22222222222222,19.2222222222222,14.0711462450593
"L2","irace-sr",2268,3910,1,43,2,0.5,3.7619,21,5.24691358024691,3.84033613445378,35.8823529411765,10.1790281329923
