Location,Algorithm,nodes,edges,nbest,nend,comp,str,plength,npaths,per-elite-nodes,avg-out-edges-elite,avg-inc-edges-elite,per-cons-elite
L0,irace,6051,6021,1,10,38,0.1,4,1,4.29681044455462,23.2,0.869230769230769,3.68709516691579
L0,irace-sr,6142,6133,1,10,38,0.1,5,1,4.15174210354933,24.1372549019608,0.894117647058824,3.61976194358389
L1,irace,6074,6035,1,10,40,0.1,4,1,4.28054000658545,23.2153846153846,0.85,3.66197183098592
L1,irace-sr,6196,6158,1,10,39,0.1,5,1,4.16397675919948,23.8914728682171,0.852713178294574,3.55634946411172
L2,irace,6078,6038,1,10,40,0.1,4,1,4.27772293517604,23.2230769230769,0.846153846153846,3.64359059291156
L2,irace-sr,6204,6165,1,10,39,0.1,5,1,4.15860735009671,23.8953488372093,0.848837209302326,3.55231143552311
