Location,nodes,edges,nshared,nbest,nend,components,strength,elite_nodes,sh_elite
L0,11170,11185,1023,2,20,28,0.1,455,74
L1,11261,11227,1009,2,20,37,0.1,458,72
L2,11285,11245,997,2,20,40,0.1,458,69
