Run Fitness1 Solution1 Elite1 Fitness2 Solution2 Elite2
1 3106692.50 3021021 T 3148068.75 3011031 T
1 3106692.50 3021021 T 2765358.89 3041021 T
1 3106692.50 3021021 T 3461182.57 2036036 F
1 3106692.50 3021021 T 3064577.00 2026031 F
1 3106692.50 3021021 T 3973649.80 2021021 F
1 3106692.50 3021021 T 1620715.00 3031016 T
1 3106692.50 3021021 T 1854096.00 1021011 F
1 3106692.50 3021021 T 3467632.29 2016026 F
1 3106692.50 3021021 T 3978054.25 2026046 F
1 3106692.50 3021021 T 1629506.67 1026036 F
1 3106692.50 3021021 T 1849072.00 1031026 F
1 3106692.50 3021021 T 3105835.50 3026031 F
1 3106692.50 3021021 T 1852340.80 1016016 F
1 3106692.50 3021021 T 3973649.80 2021021 F
1 3106692.50 3021021 T 3455742.00 3021016 F
1 3106692.50 3021021 T 3059332.00 2031021 F
1 3106692.50 3021021 T 1848201.20 3036021 T
1 3106692.50 3021021 T 3105945.50 3021026 T
1 3106692.50 3021021 T 1854480.40 0021021 F
1 3106692.50 3021021 T 1852340.80 1016016 F
1 3106692.50 3021021 T 1849382.00 1016036 F
1 3106692.50 3021021 T 1851750.40 3036026 T
1 3106692.50 3021021 T 1850334.00 1021016 F
1 3106692.50 3021021 T 3453951.14 3011016 F
1 3106692.50 3021021 T 1848916.80 1026026 F
1 3106692.50 3021021 T 1854480.40 0021021 F
1 3106692.50 3021021 T 1852492.40 1021021 F
1 3106692.50 3021021 T 1852340.80 1016016 F
1 3106692.50 3021021 T 2379033.45 3031006 T
1 3106692.50 3021021 T 3472869.71 2021026 F
1 3106692.50 3021021 T 1621164.33 3021031 T
1 3106692.50 3021021 T 1850284.40 0016041 F
1 3106692.50 3021021 T 3105945.50 3021026 T
1 3106692.50 3021021 T 1621164.33 3021031 T
1 3106692.50 3021021 T 1848229.20 1016026 F
1 3106692.50 3021021 T 1842028.00 3016031 T
1 3106692.50 3021021 T 3463707.43 0026016 F
1 3106692.50 3021021 T 3462865.14 2011031 F
1 3106692.50 3021021 T 1849058.00 0021026 F
1 3106692.50 3021021 T 1620715.00 3031016 T
1 3106692.50 3021021 T 1852205.20 0031026 F
1 3106692.50 3021021 T 1633610.00 1031016 F
1 3106692.50 3021021 T 1620715.00 3031016 T
1 3106692.50 3021021 T 3455742.00 3021016 F
1 3106692.50 3021021 T 3051311.50 3036036 F
1 3106692.50 3021021 T 1842028.00 3016031 T
1 3106692.50 3021021 T 1854288.80 1011036 F
1 3106692.50 3021021 T 3071219.25 3016026 T
1 3106692.50 3021021 T 1895974.80 3036006 T
1 3106692.50 3021021 T 3455734.57 3011011 F
1 3106692.50 3021021 T 1844940.00 3021041 F
1 3106692.50 3021021 T 1850334.00 1021016 F
1 3106692.50 3021021 T 3455742.00 3021016 F
1 3106692.50 3021021 T 3455742.00 3021016 F
1 3106692.50 3021021 T 3105835.50 3026031 F
1 3106692.50 3021021 T 1850270.40 0026021 F
1 3106692.50 3021021 T 1844940.00 3021041 F
1 3106692.50 3021021 T 3079135.25 2011021 T
1 3106692.50 3021021 T 1845842.80 3031026 F
1 3106692.50 3021021 T 3116608.25 2031031 F
1 3106692.50 3021021 T 3078358.75 0011026 T
1 3106692.50 3021021 T 3466099.14 2011016 F
1 3106692.50 3021021 T 1851750.40 3036026 T
1 3106692.50 3021021 T 1848916.80 1026026 F
1 3106692.50 3021021 T 3455178.86 3016016 T
1 3106692.50 3021021 T 1842945.20 3006016 F
1 3106692.50 3021021 T 3980064.50 2016031 F
1 3106692.50 3021021 T 3470996.00 2016016 F
1 3106692.50 3021021 T 3468718.29 2026016 F
1 3106692.50 3021021 T 1852492.00 1011031 T
1 3106692.50 3021021 T 1849722.40 0016021 F
1 3106692.50 3021021 T 1620715.00 3031016 T
1 3106692.50 3021021 T 1852844.00 1011016 F
1 3106692.50 3021021 T 1846376.40 1011021 T
1 3106692.50 3021021 T 1852340.80 1016016 F
1 3106692.50 3021021 T 3464616.29 0011031 F
1 3106692.50 3021021 T 3074266.00 3016021 T
1 3106692.50 3021021 T 1844168.00 3011021 T
1 3106692.50 3021021 T 1844168.00 3011021 T
1 3106692.50 3021021 T 2219373.00 2036011 T
1 3106692.50 3021021 T 1620715.00 3031016 T
1 3106692.50 3021021 T 1855210.40 0031031 F
1 3106692.50 3021021 T 1844168.00 3011021 T
1 3106692.50 3021021 T 3979395.50 0026036 F
1 3106692.50 3021021 T 1631497.00 1041016 F
1 3106692.50 3021021 T 1847574.80 0026026 F
1 3106692.50 3021021 T 1854480.40 0021021 F
1 3106692.50 3021021 T 3164107.50 1016011 F
1 3106692.50 3021021 T 3458411.71 3006031 F
1 3106692.50 3021021 T 1849863.20 1006041 F
1 3106692.50 3021021 T 1842028.00 3016031 T
1 3106692.50 3021021 T 3052783.50 3031021 T
1 3106692.50 3021021 T 1854780.80 1026016 F
1 3956834.40 3051036 T 1862154.80 0056036 F
1 3956834.40 3051036 T 1852388.80 1056036 F
1 3956834.40 3051036 T 2767726.22 3046021 F
1 3956834.40 3051036 T 1847364.00 3056026 T
1 3956834.40 3051036 T 1845320.40 3046031 F
1 3956834.40 3051036 T 3977610.25 2051036 F
1 3956834.40 3051036 T 3997666.50 0051046 F
1 3956834.40 3051036 T 1855012.80 2061036 F
1 3956834.40 3051036 T 3248702.80 3056046 F
1 3956834.40 3051036 T 1844543.20 3056031 T
1 3956834.40 3051036 T 3957546.20 3041046 F
1 3956834.40 3051036 T 3958849.80 3046046 F
1 3956834.40 3051036 T 1861991.60 0056051 F
1 3956834.40 3051036 T 1856697.20 0056031 F
1 3956834.40 3051036 T 1855364.00 1051041 F
1 3956834.40 3051036 T 3104539.50 3041041 T
1 3956834.40 3051036 T 1858448.40 1046021 F
1 3956834.40 3051036 T 1629506.67 1026036 F
1 3956834.40 3051036 T 1845207.60 3046036 T
1 3956834.40 3051036 T 1839424.80 3046041 T
1 3956834.40 3051036 T 1845207.60 3046036 T
1 3956834.40 3051036 T 1844543.20 3056031 T
1 3956834.40 3051036 T 1846340.80 3051051 F
1 3956834.40 3051036 T 1844047.60 3061031 F
1 3956834.40 3051036 T 1853649.60 0041036 F
1 3956834.40 3051036 T 3990256.50 0046041 F
1 3956834.40 3051036 T 2767500.22 3066036 F
1 3956834.40 3051036 T 3984171.50 2056031 F
1 3956834.40 3051036 T 1853972.80 0046036 F
1 3956834.40 3051036 T 1851857.60 1046036 F
1 3956834.40 3051036 T 1847364.00 3056026 T
1 3956834.40 3051036 T 1848201.20 3036021 T
1 3956834.40 3051036 T 1859298.00 1056026 F
1 3956834.40 3051036 T 1849505.60 1041031 F
1 3956834.40 3051036 T 2776249.33 2051026 F
1 3956834.40 3051036 T 3051311.50 3036036 F
1 3956834.40 3051036 T 2765561.56 3066031 F
1 3956834.40 3051036 T 1859005.60 0051026 F
1 3956834.40 3051036 T 3961871.40 3046051 F
1 3956834.40 3051036 T 3957546.20 3041046 F
1 3956834.40 3051036 T 1854126.40 0046021 F
1 3956834.40 3051036 T 3958219.00 3031046 F
1 3956834.40 3051036 T 2388950.73 2056026 T
1 3956834.40 3051036 T 3470806.86 1051036 F
1 3956834.40 3051036 T 2782070.44 2056021 F
1 3956834.40 3051036 T 1852584.40 1041041 F
1 3956834.40 3051036 T 3248702.80 3056046 F
1 3956834.40 3051036 T 3988264.75 0036041 F
1 3956834.40 3051036 T 1844063.20 3066041 F
1 3956834.40 3051036 T 1859005.60 0051026 F
1 3956834.40 3051036 T 1862154.80 0056036 F
1 3956834.40 3051036 T 1854204.00 2056036 F
1 3956834.40 3051036 T 1859896.40 1051046 F
1 3956834.40 3051036 T 1857842.00 1046026 F
1 3956834.40 3051036 T 1846401.20 0071036 F
1 3956834.40 3051036 T 1852681.60 0036046 F
1 3956834.40 3051036 T 1849514.00 3046026 F
1 3956834.40 3051036 T 1852388.80 1056036 F
1 3956834.40 3051036 T 1852756.40 1046051 F
1 3956834.40 3051036 T 3106955.25 3041036 F
1 3956834.40 3051036 T 3987836.25 0031036 F
1 3956834.40 3051036 T 2782070.44 2056021 F
1 3956834.40 3051036 T 1851857.60 1046036 F
1 3956834.40 3051036 T 1845207.60 3046036 T
1 3956834.40 3051036 T 2388950.73 2056026 T
1 3956834.40 3051036 T 3048178.25 3051031 F
1 3956834.40 3051036 T 1855397.60 1056046 F
1 3956834.40 3051036 T 2764469.11 3066021 F
1 3956834.40 3051036 T 1849514.00 3046026 F
1 1848289.20 3041026 T 2214465.25 3041006 T
1 1848289.20 3041026 T 1621366.33 3041016 T
1 1848289.20 3041026 T 3572753.78 2041041 F
1 1848289.20 3041026 T 1844543.20 3056031 T
1 1848289.20 3041026 T 1839424.80 3046041 T
1 1848289.20 3041026 T 3066388.50 2041036 T
1 1848289.20 3041026 T 1853392.00 1036026 F
1 1848289.20 3041026 T 3969239.60 2041046 F
1 1848289.20 3041026 T 1847364.00 3056026 T
1 1848289.20 3041026 T 1848289.20 3041026 T
1 1848289.20 3041026 T 1848289.20 3041026 T
1 1848289.20 3041026 T 1850836.80 2036021 F
1 1848289.20 3041026 T 3962626.25 2046036 F
1 1848289.20 3041026 T 1852486.80 1031011 F
1 1848289.20 3041026 T 3061063.75 2046021 F
1 1848289.20 3041026 T 2767726.22 3046021 F
1 1848289.20 3041026 T 1844543.20 3056031 T
